Season,Team,Hitter,Indicator,Value
2017,MIA,G. Stanton,RBI,0.22
2017,MIA,J. Bour,RBI,0.22
2017,CLE,L. Chisenhall,RBI,0.22
2017,CIN,J. Votto,BB,0.24
2017,LAA,M. Trout,BB,0.23
2017,MIL,N. Walker,BB,0.23
2017,NYY,A. Judge,BB,0.23
2017,PHI,J.P. Crawford,BB,0.23
2017,STL,M. Carpenter,BB,0.22
2017,PHI,R. Hoskins,BB,0.22
2017,CHC,A. Avila,BB,0.20
2017,DET,A. Avila,BB,0.20
2017,LAD,L. Forsythe,BB,0.20
2017,CLE,D. Robertson,K,0.04
2017,LAA,B. Revere,K,0.09
2017,MIN,Z. Granite,K,0.09
2017,MIA,T. Telis,K,0.10
2017,SF,E. Nunez,K,0.10
2017,NYM,N. Aoki,K,0.10
2017,KC,M. Cabrera,K,0.10
2017,SF,J. Panik,K,0.10
2017,LAA,A. Simmons,K,0.11
2017,TEX,J. Lucroy,K,0.11
2017,DET,J.D. Martinez,SLG,0.77
2017,LAA,M. Trout,SLG,0.68
2017,CIN,P. Ervin,SLG,0.68
2017,BOS,E. Nunez,SLG,0.67
2017,ATL,F. Freeman,SLG,0.67
2017,DET,A. Avila,SLG,0.66
2017,HOU,J. Centeno,SLG,0.66
2017,ARI,J.D. Martinez,SLG,0.65
2017,PHI,R. Hoskins,SLG,0.65
2017,WSH,B. Harper,SLG,0.65
2017,ARI,J. Hazelbaker,AVG,0.35
2017,HOU,J. Altuve,AVG,0.34
2017,PHI,H. Kendrick,AVG,0.34
2017,CHW,A. Garcia,AVG,0.33
2017,COL,C. Blackmon,AVG,0.33
2017,SF,B. Posey,AVG,0.32
2017,OAK,B. Powell,AVG,0.32
2017,CIN,J. Votto,AVG,0.32
2017,DET,J. Candelario,AVG,0.32
2017,BOS,E. Nunez,AVG,0.32
2017,ARI,J. Hazelbaker,OBP,0.45
2017,HOU,J. Altuve,OBP,0.45
2017,OAK,B. Powell,OBP,0.44
2017,WSH,A. Eaton,OBP,0.44
2017,COL,C. Blackmon,OBP,0.44
2017,WSH,B. Harper,OBP,0.44
2017,LAA,M. Trout,OBP,0.44
2017,STL,T. Pham,OBP,0.43
2017,CIN,J. Votto,OBP,0.43
2017,WSH,D. Murphy,OBP,0.42
2018,CLE,F. Lindor,AB,677.00
2018,WSH,T. Turner,AB,668.00
2018,ATL,O. Albies,AB,657.00
2018,NYY,G. Stanton,AB,642.00
2018,COL,C. Blackmon,AB,641.00
2018,OAK,M. Semien,AB,640.00
2018,ATL,N. Markakis,AB,640.00
2018,ATL,F. Freeman,AB,638.00
2018,KC,W. Merrifield,AB,637.00
2018,BOS,A. Benintendi,AB,635.00
2018,TB,T. Pham,R,0.24
2018,BOS,M. Betts,R,0.24
2018,BOS,T. Lin,R,0.23
2018,STL,T. O'Neill,R,0.22
2018,STL,P. Wisdom,R,0.22
2018,LAA,M. Trout,R,0.21
2018,TOR,S. Pearce,R,0.21
2018,MIL,C. Yelich,R,0.20
2018,NYY,L. Voit,R,0.20
2018,MIL,K. Broxton,R,0.20
2018,LAD,D. Freese,H,0.37
2018,MIN,W. Astudillo,H,0.35
2018,TB,T. Pham,H,0.34
2018,NYM,J. Lagares,H,0.34
2018,PHI,W. Ramos,H,0.34
2018,BOS,M. Betts,H,0.33
2018,BOS,J.D. Martinez,H,0.33
2018,NYM,J. McNeil,H,0.33
2018,NYY,L. Voit,H,0.32
2018,CLE,L. Chisenhall,H,0.32
2018,NYY,L. Voit,RBI,0.25
2018,LAD,D. Freese,RBI,0.24
2018,BOS,J.D. Martinez,RBI,0.23
2018,MIN,W. Astudillo,RBI,0.23
2018,LAA,F. Arcia,RBI,0.22
2018,OAK,K. Davis,RBI,0.22
2018,MIL,J. Aguilar,RBI,0.21
2018,BOS,S. Pearce,RBI,0.21
2018,NYY,T. Austin,RBI,0.21
2018,CLE,E. Encarnacion,RBI,0.21
2018,LAA,M. Trout,BB,0.26
2018,WSH,B. Harper,BB,0.24
2018,NYY,A. McCutchen,BB,0.22
2018,CIN,J. Votto,BB,0.21
2018,TB,R. Refsnyder,BB,0.21
2018,COL,M. Holliday,BB,0.21
2018,NYM,J. Bautista,BB,0.21
2018,LAD,M. Muncy,BB,0.20
2018,PHI,C. Santana,BB,0.20
2018,TB,D. Span,BB,0.20
2018,MIN,W. Astudillo,K,0.03
2018,NYM,L. Guillorme,K,0.04
2018,LAA,A. Simmons,K,0.08
2018,SF,J. Panik,K,0.08
2018,WSH,D. Murphy,K,0.09
2018,NYM,J. McNeil,K,0.10
2018,DET,V. Martinez,K,0.10
2018,CHW,K. Smith,K,0.11
2018,CLE,M. Brantley,K,0.11
2018,NYM,W. Flores,K,0.11
2018,TOR,R. Tellez,SLG,0.86
2018,PHI,W. Ramos,SLG,0.73
2018,SF,A. Garcia,SLG,0.70
2018,SD,F. Mejia,SLG,0.65
2018,BOS,M. Betts,SLG,0.64
2018,WSH,M. Reynolds,SLG,0.64
2018,PIT,A. Meadows,SLG,0.64
2018,LAA,M. Trout,SLG,0.62
2018,BOS,J.D. Martinez,SLG,0.60
2018,NYY,A. Judge,SLG,0.59
2018,LAD,D. Freese,AVG,0.37
2018,MIN,W. Astudillo,AVG,0.35
2018,TB,T. Pham,AVG,0.34
2018,NYM,J. Lagares,AVG,0.34
2018,PHI,W. Ramos,AVG,0.34
2018,BOS,M. Betts,AVG,0.33
2018,BOS,J.D. Martinez,AVG,0.33
2018,NYM,J. McNeil,AVG,0.33
2018,NYY,L. Voit,AVG,0.32
2018,CLE,L. Chisenhall,AVG,0.32
2018,LAD,D. Freese,OBP,0.47
2018,TB,T. Pham,OBP,0.47
2018,BOS,M. Betts,OBP,0.46
2018,NYY,L. Voit,OBP,0.44
2018,LAA,M. Trout,OBP,0.44
2018,BOS,J.D. Martinez,OBP,0.43
2018,MIL,C. Yelich,OBP,0.43
2018,NYM,J. Lagares,OBP,0.43
2018,NYM,J. McNeil,OBP,0.42
2018,MIN,W. Astudillo,OBP,0.41
2019,KC,W. Merrifield,AB,699.00
2019,ATL,O. Albies,AB,676.00
2019,OAK,M. Semien,AB,675.00
2019,BOS,R. Devers,AB,665.00
2019,HOU,M. Brantley,AB,659.00
2019,ATL,R. Acuna Jr.,AB,658.00
2019,CHW,J. Abreu,AB,658.00
2019,BAL,J. Villar,AB,653.00
2019,ARI,E. Escobar,AB,650.00
2019,STL,P. Goldschmidt,AB,649.00
2019,HOU,M. Straw,R,0.27
2019,OAK,S. Murphy,R,0.25
2019,LAA,M. Trout,R,0.23
2019,BOS,M. Betts,R,0.22
2019,LAD,D. Freese,R,0.22
2019,TEX,J. Gallo,R,0.22
2019,ATL,A. Hechavarria,R,0.22
2019,MIN,M. Garver,R,0.22
2019,PHI,A. McCutchen,R,0.22
2019,KC,T. Gore,R,0.22
2019,LAA,C. Puello,H,0.35
2019,MIN,L. Arraez,H,0.34
2019,WSH,H. Kendrick,H,0.34
2019,CHW,T. Anderson,H,0.33
2019,MIL,C. Yelich,H,0.33
2019,NYY,D. LeMahieu,H,0.33
2019,ARI,K. Marte,H,0.33
2019,LAD,D. Freese,H,0.32
2019,SF,D. Solano,H,0.32
2019,COL,N. Arenado,H,0.32
2019,WSH,A. Cabrera,RBI,0.29
2019,PHI,C. Dickerson,RBI,0.26
2019,WSH,A. Rendon,RBI,0.24
2019,MIN,N. Cruz,RBI,0.23
2019,ATL,A. Hechavarria,RBI,0.23
2019,NYY,G. Stanton,RBI,0.23
2019,LAA,M. Trout,RBI,0.23
2019,LAD,W. Smith,RBI,0.23
2019,ARI,K. Cron,RBI,0.23
2019,CIN,A. Aquino,RBI,0.22
2019,NYM,B. Nimmo,BB,0.23
2019,LAA,M. Trout,BB,0.23
2019,ARI,A. Avila,BB,0.22
2019,NYY,G. Stanton,BB,0.22
2019,HOU,A. Bregman,BB,0.21
2019,TEX,J. Gallo,BB,0.21
2019,MIL,Y. Grandal,BB,0.21
2019,PHI,R. Hoskins,BB,0.20
2019,TOR,C. Biggio,BB,0.20
2019,SEA,D. Vogelbach,BB,0.20
2019,MIN,W. Astudillo,K,0.04
2019,MIN,L. Arraez,K,0.09
2019,NYM,J. Panik,K,0.10
2019,NYY,K. Morales,K,0.10
2019,BAL,H. Alberto,K,0.10
2019,LAA,A. Simmons,K,0.10
2019,LAA,T. La Stella,K,0.10
2019,LAA,D. Fletcher,K,0.11
2019,HOU,Y. Gurriel,K,0.11
2019,SF,J. Panik,K,0.11
2019,SEA,K. Lewis,SLG,0.86
2019,OAK,S. Murphy,SLG,0.79
2019,MIL,C. Yelich,SLG,0.76
2019,CHC,R. Garcia,SLG,0.75
2019,CIN,A. Aquino,SLG,0.73
2019,PHI,J. Bruce,SLG,0.73
2019,LAA,C. Puello,SLG,0.73
2019,LAD,C. Bellinger,SLG,0.72
2019,ATL,A. Duvall,SLG,0.71
2019,COL,Y. Alonso,SLG,0.70
2019,LAA,C. Puello,AVG,0.35
2019,MIN,L. Arraez,AVG,0.34
2019,WSH,H. Kendrick,AVG,0.34
2019,CHW,T. Anderson,AVG,0.33
2019,MIL,C. Yelich,AVG,0.33
2019,NYY,D. LeMahieu,AVG,0.33
2019,ARI,K. Marte,AVG,0.33
2019,LAD,D. Freese,AVG,0.32
2019,SF,D. Solano,AVG,0.32
2019,COL,N. Arenado,AVG,0.32
2019,LAA,C. Puello,OBP,0.45
2019,LAD,D. Freese,OBP,0.45
2019,MIL,C. Yelich,OBP,0.45
2019,WSH,A. Rendon,OBP,0.44
2019,HOU,M. Straw,OBP,0.44
2019,ATL,A. Hechavarria,OBP,0.44
2019,CHC,N. Castellanos,OBP,0.44
2019,WSH,H. Kendrick,OBP,0.43
2019,NYY,D. LeMahieu,OBP,0.43
2019,MIN,L. Arraez,OBP,0.43
2020,LAD,M. Betts,AB,290.00
2020,ATL,D. Swanson,AB,282.00
2020,LAD,C. Bellinger,AB,279.00
2020,LAD,C. Seager,AB,279.00
2020,ATL,M. Ozuna,AB,279.00
2020,TB,B. Lowe,AB,274.00
2020,LAD,M. Muncy,AB,263.00
2020,HOU,K. Tucker,AB,258.00
2020,ATL,F. Freeman,AB,257.00
2020,HOU,Y. Gurriel,AB,255.00
2020,ATL,R. Acuna Jr.,R,0.27
2020,WSH,J. Soto,R,0.25
2020,TB,R. Arozarena,R,0.24
2020,ATL,F. Freeman,R,0.23
2020,PHI,R. Hoskins,R,0.23
2020,NYY,T. Wade,R,0.23
2020,SD,F. Tatis Jr.,R,0.22
2020,MIL,D. Vogelbach,R,0.22
2020,ARI,T. Locastro,R,0.22
2020,PHI,B. Harper,R,0.22
2020,PIT,K. Hayes,H,0.38
2020,BAL,J. Iglesias,H,0.37
2020,NYY,D. LeMahieu,H,0.35
2020,WSH,J. Soto,H,0.35
2020,DET,W. Castro,H,0.35
2020,CHW,T. Anderson,H,0.34
2020,BOS,K. Plawecki,H,0.34
2020,PHI,A. Bohm,H,0.34
2020,WSH,T. Turner,H,0.33
2020,NYM,L. Guillorme,H,0.33
2020,BOS,M. Moreland,RBI,0.31
2020,LAA,J. Walsh,RBI,0.26
2020,MIL,J. Nottingham,RBI,0.25
2020,CHW,J. Abreu,RBI,0.24
2020,ATL,M. Ozuna,RBI,0.24
2020,SD,E. Hosmer,RBI,0.24
2020,NYM,D. Smith,RBI,0.24
2020,WSH,J. Soto,RBI,0.24
2020,NYY,G. Stanton,RBI,0.24
2020,ATL,F. Freeman,RBI,0.23
2020,WSH,J. Soto,BB,0.27
2020,PHI,B. Harper,BB,0.26
2020,NYY,A. Hicks,BB,0.24
2020,TB,Y. Diaz,BB,0.23
2020,BAL,D. Stewart,BB,0.23
2020,LAD,M. Muncy,BB,0.22
2020,CLE,C. Santana,BB,0.22
2020,MIN,J. Donaldson,BB,0.22
2020,MIL,C. Yelich,BB,0.22
2020,ATL,R. Acuna Jr.,BB,0.22
2020,CHW,N. Madrigal,K,0.06
2020,OAK,T. La Stella,K,0.06
2020,LAA,T. La Stella,K,0.07
2020,MIN,L. Arraez,K,0.10
2020,COL,N. Arenado,K,0.11
2020,NYY,D. LeMahieu,K,0.11
2020,ARI,K. Marte,K,0.12
2020,CLE,J. Naylor,K,0.12
2020,HOU,Y. Gurriel,K,0.12
2020,BAL,J. Iglesias,K,0.12
2020,NYY,G. Stanton,SLG,0.85
2020,BOS,M. Moreland,SLG,0.84
2020,WSH,J. Soto,SLG,0.78
2020,TB,R. Arozarena,SLG,0.77
2020,PHI,P. Gosselin,SLG,0.76
2020,NYY,C. Frazier,SLG,0.70
2020,MIN,N. Cruz,SLG,0.69
2020,DET,J. Jones,SLG,0.68
2020,PIT,K. Hayes,SLG,0.66
2020,NYM,D. Smith,SLG,0.65
2020,PIT,K. Hayes,AVG,0.38
2020,BAL,J. Iglesias,AVG,0.37
2020,NYY,D. LeMahieu,AVG,0.35
2020,WSH,J. Soto,AVG,0.35
2020,DET,W. Castro,AVG,0.35
2020,CHW,T. Anderson,AVG,0.34
2020,BOS,K. Plawecki,AVG,0.34
2020,PHI,A. Bohm,AVG,0.34
2020,WSH,T. Turner,AVG,0.33
2020,NYM,L. Guillorme,AVG,0.33
2020,PIT,K. Hayes,OBP,0.48
2020,WSH,J. Soto,OBP,0.48
2020,TB,R. Arozarena,OBP,0.46
2020,NYY,D. LeMahieu,OBP,0.46
2020,ATL,F. Freeman,OBP,0.46
2020,CHW,T. Anderson,OBP,0.46
2020,BOS,M. Moreland,OBP,0.44
2020,WSH,T. Turner,OBP,0.44
2020,MIL,D. Vogelbach,OBP,0.44
2020,DET,W. Castro,OBP,0.44
2021,ATL,O. Albies,AB,690.00
2021,HOU,J. Altuve,AB,668.00
2021,KC,W. Merrifield,AB,664.00
2021,ATL,F. Freeman,AB,656.00
2021,ATL,A. Riley,AB,654.00
2021,TOR,M. Semien,AB,652.00
2021,STL,T. Edman,AB,646.00
2021,ATL,D. Swanson,AB,645.00
2021,TOR,B. Bichette,AB,640.00
2021,TEX,I. Kiner-Falefa,AB,635.00
2021,NYY,T. Wade,R,0.24
2021,ATL,R. Acuna Jr.,R,0.24
2021,BOS,K. Schwarber,R,0.24
2021,TOR,J. Davis,R,0.23
2021,MIA,S. Marte,R,0.22
2021,WSH,J. Soto,R,0.22
2021,MIN,B. Buxton,R,0.21
2021,KC,K. Isbel,R,0.21
2021,CHW,Y. Grandal,R,0.21
2021,PHI,B. Harper,R,0.21
2021,BOS,J. Iglesias,H,0.36
2021,CHW,L. Robert,H,0.34
2021,CHC,F. Schwindel,H,0.34
2021,LAA,M. Trout,H,0.33
2021,PHI,M. Vierling,H,0.32
2021,PIT,A. Frazier,H,0.32
2021,WSH,T. Turner,H,0.32
2021,HOU,Y. Gurriel,H,0.32
2021,ARI,K. Marte,H,0.32
2021,ATL,E. Rosario,H,0.32
2021,CHW,Y. Grandal,RBI,0.23
2021,CIN,J. Votto,RBI,0.22
2021,MIA,A. Duvall,RBI,0.21
2021,MIA,J. Aguilar,RBI,0.21
2021,TOR,T. Hernandez,RBI,0.21
2021,ATL,A. Duvall,RBI,0.21
2021,TB,A. Meadows,RBI,0.21
2021,CHW,J. Abreu,RBI,0.21
2021,CLE,J. Luplow,RBI,0.20
2021,CHW,G. Sheets,RBI,0.20
2021,CHW,Y. Grandal,BB,0.31
2021,WSH,J. Soto,BB,0.29
2021,TEX,J. Gallo,BB,0.24
2021,LAA,M. Trout,BB,0.23
2021,PHI,M. Joyce,BB,0.22
2021,WSH,A. Avila,BB,0.22
2021,CLE,J. Luplow,BB,0.21
2021,BOS,K. Schwarber,BB,0.21
2021,SEA,J. Fraley,BB,0.21
2021,PHI,B. Harper,BB,0.21
2021,WSH,K. Ruiz,K,0.05
2021,MIN,W. Astudillo,K,0.06
2021,PIT,K. Newman,K,0.08
2021,CHW,N. Madrigal,K,0.09
2021,LAA,D. Fletcher,K,0.10
2021,KC,H. Alberto,K,0.11
2021,SD,A. Nola,K,0.11
2021,MIN,L. Arraez,K,0.11
2021,PIT,A. Frazier,K,0.12
2021,SD,A. Frazier,K,0.12
2021,MIN,B. Buxton,SLG,0.77
2021,ARI,A. Young,SLG,0.74
2021,LAA,M. Trout,SLG,0.74
2021,ATL,P. Sandoval,SLG,0.73
2021,ATL,R. Acuna Jr.,SLG,0.67
2021,CHC,P. Wisdom,SLG,0.65
2021,CIN,N. Castellanos,SLG,0.64
2021,LAA,S. Ohtani,SLG,0.64
2021,TOR,V. Guerrero Jr.,SLG,0.63
2021,MIN,N. Cruz,SLG,0.63
2021,BOS,J. Iglesias,AVG,0.36
2021,CHW,L. Robert,AVG,0.34
2021,CHC,F. Schwindel,AVG,0.34
2021,LAA,M. Trout,AVG,0.33
2021,PHI,M. Vierling,AVG,0.32
2021,PIT,A. Frazier,AVG,0.32
2021,WSH,T. Turner,AVG,0.32
2021,HOU,Y. Gurriel,AVG,0.32
2021,ARI,K. Marte,AVG,0.32
2021,ATL,E. Rosario,AVG,0.32
2021,CHC,F. Schwindel,OBP,0.45
2021,LAA,M. Trout,OBP,0.44
2021,WSH,J. Soto,OBP,0.44
2021,CHW,L. Robert,OBP,0.43
2021,MIA,S. Marte,OBP,0.43
2021,BOS,J. Iglesias,OBP,0.43
2021,PHI,B. Harper,OBP,0.43
2021,MIN,B. Buxton,OBP,0.43
2021,TOR,V. Guerrero Jr.,OBP,0.43
2021,ATL,R. Acuna Jr.,OBP,0.42
